title,author,isbn,avg_rating,user_rating,date_read,shelf,url,cover_url,genres,description
Of Mice and Men,"Steinbeck, John",0142000671,3.89,5,not set,read,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX50_.jpg,"['Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School']",
Angels & Demons,"Brown, Dan",1416524797,3.95,5,not set,read,https://www.goodreads.com/book/show/960.Angels_Demons,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696691404l/960._SY75_.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Crime']",
Dan Brown Inferno (Robert Langdon) Unofficial Guide,"Eastment, Stephen",1456613308,4.32,5,not set,read,https://www.goodreads.com/book/show/17587594-dan-brown-inferno-robert-langdon-unofficial-guide,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372848476l/17587594._SY75_.jpg,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Drama', 'Classics', 'Suspense']",
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,"Potts, Rolf",0812992180,3.95,5,not set,read,https://www.goodreads.com/book/show/100247.Vagabonding,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320532720l/100247._SY75_.jpg,"['Travel', 'Nonfiction', 'Philosophy', 'Self Help', 'Adventure', 'Personal Development', 'Audiobook']",
On the Road,"Kerouac, Jack",0140042598,3.61,5,not set,read,https://www.goodreads.com/book/show/70401.On_the_Road,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658929891l/70401._SY75_.jpg,"['Classics', 'Fiction', 'Travel', 'Literature', 'Novels', 'American', 'Adventure']",
Lonesome Traveller,"Kerouac, Jack",0586038442,3.75,4,not set,read,https://www.goodreads.com/book/show/247972.Lonesome_Traveller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1229055550l/247972._SY75_.jpg,"['Fiction', 'Travel', 'Classics', 'American', 'Literature', 'Short Stories', 'Novels']",
At Home in the World: Stories and Essential Teachings from a Monk's Life,Thich Nhat Hanh,1941529437,4.52,4,not set,read,https://www.goodreads.com/book/show/28439490-at-home-in-the-world,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1642963978l/28439490._SY75_.jpg,"['Buddhism', 'Spirituality', 'Nonfiction', 'Philosophy', 'Self Help', 'Memoir', 'Biography']",
Dune,"Herbert, Frank",059309932X,4.28,5,not set,read,https://www.goodreads.com/book/show/44767458-dune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458._SY75_.jpg,"['Science Fiction', 'Fiction', 'Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Classics', 'Novels']",
My Inventions,"Tesla, Nikola",1599869942,3.91,4,not set,read,https://www.goodreads.com/book/show/493.My_Inventions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349108147l/493._SX50_.jpg,"['Biography', 'Science', 'Nonfiction', 'History', 'Autobiography', 'Physics', 'Memoir']",
The Selfish Gene,"Dawkins, Richard",0199291152,4.16,4,not set,read,https://www.goodreads.com/book/show/61535.The_Selfish_Gene,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366758096l/61535._SY75_.jpg,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'Philosophy', 'Psychology', 'Popular Science']",
The Unbearable Lightness of Being,"Kundera, Milan",0571224385,4.11,4,not set,read,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265401884l/9717._SY75_.jpg,"['Fiction', 'Philosophy', 'Literature', 'Novels', 'Romance', 'Czech Literature', 'Classics']",
Ender’s Game,"Card, Orson Scott",0812550706,4.31,5,not set,read,https://www.goodreads.com/book/show/375802.Ender_s_Game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802._SY75_.jpg,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia']",
Speaker for the Dead,"Card, Orson Scott",0812550757,4.11,5,not set,read,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295660894l/7967._SY75_.jpg,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Audiobook', 'Space']",
Ender's Shadow,"Card, Orson Scott",0765342405,4.32,5,not set,read,https://www.goodreads.com/book/show/9532.Ender_s_Shadow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424904668l/9532._SY75_.jpg,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Space']",
